Entidad;Nit Entidad;Departamento Entidad;Ciudad Entidad;;
SECRETARÍA DE TRANSPORTE Y MOVILIDAD;899999114;Arauca;Arauca;;
ESE HOSPITAL FRANCISCO ELADIO BARRERA;890905097;Antioquia;Don Matías;;
ESTABLECIMIENTO PENITENCIARIO LA ESPERANZA DEL MUNICIPIO DE GUADUAS;900388272;Cundinamarca;Guaduas;;
CARCEL Y PENITENCIARIA DE MEDIA SEGURIDAD DE CHOCONTA;832001797;Cundinamarca;Chocontá;;
SECRETARIA DE LA MUJER Y EQUIDAD DE GENERO;899999114;Distrito Capital de Bogotá;Bogotá;;
ARMADA NACIONAL BASE NAVAL No. 6 ARC BOGOTA;800141644;Distrito Capital de Bogotá;Bogotá;;
INSTITUCIÓN EDUCATIVA JOSÉ FÉLIX DE RESTREPO VÉLEZ;811017572;Antioquia;Sabaneta;;
ALCALDIA DE MOCOA;800102891;No Definido;No Definido;;
RED SALUD ARMENIA EMPRESA SOCIAL DEL ESTADO E.S.E.;801001440;Quindío;Armenia;;
CENTRAL ADMINISTRATIVA Y CONTABLE - CENAC - ARMENIA;800130829;Quindío;Armenia;;
INSTITUCION EDUCATIVA NUESTRA SEÑORA DE GUADALUPE;8160008307;Risaralda;Dosquebradas;;
PERSONERIA MUNICIPAL DE CAJICA;899999465;Cundinamarca;Cajicá;;
COMISION PROFESIONAL COLOMBIANA DE DISEÑO INDUSTRIAL;900246895;Distrito Capital de Bogotá;Bogotá;;
HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ ESE;890904646;No Definido;No Definido;;
DEPARTAMENTO POLICIA ARAUCA;800140602;Arauca;Arauca;;
MUNICIPIO DE TURMEQUE;891801787;No Definido;No Definido;;
CONTRALORIA GENERAL DE LA REPUBLICA-CGR- GERENCIA DEPARTAMENTAL CASANARE;899999067;Casanare;Yopal;;
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ACACIAS;822004467;Meta;Acacías;;
